original_code,original_name,translated_name,HCAT3_name,HCAT3_code
501,Sommergerste,Spring barley,spring_barley,3301010402
502,Wintergerste,Winter barley,winter_barley,3301010401
504,Hafer,Oats,oats,3301010500
505,Triticale,Triticale,triticale,3301010800
506,Mischel Futtergetreide,Mixed feed cereals,other_cereals,3301019900
507,Futterweizen gemäss Sortenliste swiss granum,Feed wheat according to swiss granum list,common_soft_wheat,3301010100
508,Körnermais,Grain maize,grain_maize_corn_popcorn,3301010600
509,Reis,Rice,rice,3301010700
510,Hartweizen,Durum wheat,durum_hard_wheat,3301010200
511,"Emmer, Einkorn",Emmer einkorn,other_cereals,3301019900
512,Sommerweizen (ohne Futterweizen der Sortenliste swiss granum),Spring wheat (excluding feed list),spring_common_soft_wheat,3301010102
513,Winterweizen (ohne Futterweizen der Sortenliste swiss granum),Winter wheat (excluding feed list),winter_common_soft_wheat,3301010101
514,Roggen,Rye,rye,3301010300
515,Mischel Brotgetreide,Mixed bread cereals,other_cereals,3301019900
516,Dinkel,Spelt,spelt,3301011000
519,Saatmais (Vertragsanbau),Seed/grain maize (contract),grain_maize_corn_popcorn,3301010600
520,Trockenreis,Dryland rice,rice,3301010700
521,Silo- und Grünmais,Silage and green maize,green_silo_maize,3301090400
522,Zuckerrüben,Sugar beet,sugar_beet,3301290700
523,Futterrüben,Fodder beets,mangelwurzel_fodder_beet,3301290400
524,Kartoffeln,Potatoes,potatoes,3301030000
525,Pflanzkartoffeln (Vertragsanbau),Seed potatoes (contract),potatoes,3301030000
526,Sommerraps zur Speiseölgewinnung,Spring rapeseed for edible oil,rapeseed_rape,3301060400
527,Winterraps zur Speiseölgewinnung,Winter rapeseed for edible oil,rapeseed_rape,3301060400
528,Soja,Soy,soy_soybeans,3301160000
529,Nassreis,Wet rice,rice,3301010700
531,Sonnenblumen zur Speiseölgewinnung,Sunflowers for edible oil,sunflower,3301060500
534,Lein,Linseed (oil flax),flax_linseed_oil,3301060702
535,Hanf,Hemp,hemp_cannabis,3301061000
536,Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen),Beans and vetches for grain (e.g. field beans),beans,3301020100
537,Erbsen zur Körnergewinnung (z.B. Eiweisserbsen),Peas for grain (e.g. protein peas),peas,3301020600
538,Lupinen,Lupins,sweet_lupins,3301020700
539,Ölkürbisse,Oil pumpkins,pumpkin_squash_gourd,3301140400
540,Kichererbsen,Chickpeas,chickpeas,3301020200
541,Tabak,Tobacco,tobacco,3301060100
542,Hirse,Millet,millet_sorghum,3301010900
543,Getreide siliert,Cereals for silage,plants_harvested_green,3301090000
544,Leindotter,Camelina,camelina,3301061500
545,"Einjährige Freilandgemüse, ohne Konservengemüse",Annual open-field vegetables (excl. canning),fresh_vegetables,3301070000
546,Freiland-Konservengemüse,Open-field processing vegetables,fresh_vegetables,3301070000
547,Wurzeln der Treibzichorie,Roots of forcing chicory,chicory_chicories,3301310200
548,Buchweizen,Buckwheat,buckwheat,3301150200
549,Sorghum,Sorghum,millet_sorghum,3301010900
550,Übrige Ackerfläche,Other arable land,other_arable_land_crops,3301990000
551,Einjährige Beeren (z.B. Erdbeeren),Annual berries (e.g. strawberries),strawberries,3301130000
552,"Einjährige nachwachsende Rohstoffe (Kenaf, usw.)",Annual renewable resources (kenaf etc.),other_arable_land_crops,3301990000
553,Einjährige Gewürz- und Medizinalpflanzen,Annual spice and medicinal plants,other_arable_land_crops,3301990000
554,"Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen usw.)",Annual horticultural open-field crops (flowers turf etc.),flowers_ornamental_plants,3301080000
555,Ackerschonstreifen,Conservation strips on arable land,not_known_and_other,3399000000
556,Buntbrache,Colourful fallow,fallow_land_not_crop,3301110000
557,Rotationsbrache,Rotational fallow,fallow_land_not_crop,3301110000
559,Saum auf Ackerflächen,Field margin on arable land,not_known_and_other,3399000000
566,Mohn,Poppy,poppy,3301060600
567,Saflor,Safflower,safflower,3301083900
568,Linsen,Lentils,lentils,3301020500
