original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
0001,aed-apteegitill,garden fennel,fennel,3301170000,fennel,3301170000
0002,aedhernes,Green peas,peas,3301020600,peas,3301020600
0003,aedkoriander,garden coriander,coriander,3301061215,coriander,3301061215
0004,aedmaasikad avamaal või madala katte all,Strawberries (open field or under low cover),strawberries,3301130000,strawberries,3301130000
0005,aedpetersell,garden parsley,parsly,3301061227,parsly,3301061227
0006,aedtill,Dill,anethum_dill,3301061203,anethum_dill,3301061203
0007,aeduba,kidney bean,beans,3301020100,beans,3301020100
0008,"aniis, harilik",aniseed common,anise_aniseed,3301061205,anise_aniseed,3301061205
0009,arbuus,watermelon,watermelon,3301140500,watermelon,3301140500
0010,aroonia,chokeberry,aronia_chokeberries,3303020100,aronia_chokeberries,3303020100
0011,astelpaju,Sea-buckthorn,hippophae_sea_buckthorns_seaberry,3303020800,hippophae_sea_buckthorns_seaberry,3303020800
0012,ebaküdoonia,Chaenomeles,chaenomeles_cathayensis,3303080200,quinces,3303011500
0013,füüsal,Groundcherry ,fresh_vegetables,3301070000,not_known_and_other,3399000000
0014,hapu kirsipuu sh murelipuu,Sour cherry incl. morello cherry,cherry_cherries,3303010400,cherry_cherries,3303010400
0015,haraline ploomipuu (alõtša),Plum tree,plums,3303011300,plums,3303011300
0016,harilik esparsett (100% esparsetti),Common sainfoin (100%),onobrychis_sainfoins,3301061600,onobrychis_sainfoins,3301061600
0017,"harilik esparsett (esparsetti 50-80%, teisi heintaimi 20-50%)",common asparagus (asparagus 50-80% other grasses 20-50%),asparagus,3301200000,aspargus,3301200000
0018,harilik kanep,cannabis,hemp_cannabis,3301061000,hemp_cannabis,3301061000
0019,harilik lutsern (100% lutserni),Lucerne (100%),alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
0020,"harilik lutsern (lutserni 50-80%, teisi heintaimi 20-50%)",alfalfa (alfalfa 50-80% other grasses 20-50%),alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
0021,"harilik lutsern (vähemalt 80% lutserni, kun 20% heintaimi)",Lucerne (at least 80% alfalfa 20% grasses),alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
0022,harilik nõiahammas (100% nõiahammast),Birdsfoot trefoil (100%),legumes_harvested_green,3301090300,not_known_and_other,3399000000
0023,"harilik nõiahammas (nõiahammast 50-80%, teisi heintaimi 20-50%)",common trefoil (50-80% of witch tooth 20-50% other grasses),legumes_harvested_green,3301090300,pasture_meadow_grassland_grass,3302000000
0024,harilik pihlakas,Rowan,rowan_rowanberries,3303021300,rowan_rowanberries,3303021300
0025,harilik sarapuu,common hazel,hazelnuts_hazel,3303030200,hazelnuts_hazel,3303030200
0026,harilik sibul (söögisibul),onion (onion),onions,3301220400,onions,3301220400
0027,harilik ussikeel (100% ussikeelt),Viper's bugloss (100%),other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
0028,humal,hops,hops,3301060200,hops,3301060200
0029,humallutsern (100% lutserni),hop alfalfa (100% alfalfa),alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
0030,ida-kitsehernes (100% ida-kitsehernest),Eastern goat pea (100% eastern goat pea),peas,3301020600,peas,3301020600
0031,"ida-kitsehernes (vähemalt 80% ida-kitsehernest, kuni 20% heintaimi)",Fodder galega (at least 80% galega up to 20% grasses),galega,3301081900,galega,3301081900
0032,jääsalat,iceberg lettuce,iceberg,3301310400,iceberg,3301310400
0033,jõhvikas,Cranberry,cranberry,3303020500,cranberry,3303020500
0034,juurseller,celery root,celeriac,3301250100,celery,3301250000
0035,kaalikas,Rutabaga,swede_rutabaga,3301210500,swede_rutabaga,3301210500
0036,kabatšokk,Zucchini,zucchini_courgette,3301140600,pumpkin_squash_gourd,3301140400
0037,"kaer allakülviga, v.a liblikõieliste allakülviga",Oats undersown (excl. legumes),oats,3301010500,oats,3301010500
0038,kaer allakülvita,oats sown,oats,3301010500,oats,3301010500
0039,kaer liblikõieliste allakülviga,Oats undersown with legumes,oats,3301010500,oats,3301010500
0040,"kanep, Finola",Hemp Finola,finola,3301061001,finola,3301061001
0041,"kanep, Henola",Cannabis Heinola,hemp_cannabis,3301061000,hemp_cannabis,3301061000
0042,"kanep, Tiborszallasi",cannabis Tiborszallasi,hemp_cannabis,3301061000,hemp_cannabis,3301061000
0043,"kanep, Uso - 31",cannabis Uso - 31,hemp_cannabis,3301061000,hemp_cannabis,3301061000
0044,"kapsasrohi, must",Black mustard,mustard,3301210100,mustard,3301210100
0045,"kapsasrohi, sarepta",Brown mustard,mustard,3301210100,mustard,3301210100
0046,Karjatamine väljaspool põllumaj. maad,Rough grazings,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
0047,"kartul ""Ando""","potato ""Ando""",potatoes,3301030000,potatoes,3301030000
0048,"kartul v.a ""Ando""","Potato (excl. ""Ando"")",potatoes,3301030000,potatoes,3301030000
0049,karusmari,gooseberry,gooseberry_gooseberries_cranberries,3303020700,gooseberry_gooseberries_cranberries,3303020700
0050,"kassinaeris, mets-",Malva sylvestris,malva,3301082800,sida_virginia_mallow,3304030000
0051,kaunviljade segu,Mixture of legumes,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
0052,keerispea allakülviga v.a liblikõieliste allakülviga,Phacelia tanacetifolia undersown (excl. legumes),phacelia,3301061400,fiddleneck_amsinckia,3301081700
0053,keerispea allakülvita,Phacelia tanacetifolia,phacelia,3301061400,not_known_and_other,3399000000
0054,keerispea liblikõieliste allakülviga,Phacelia tanacetifolia undersown with legumes,phacelia,3301061400,not_known_and_other,3399000000
0055,kikerhernes,chickpeas,chickpeas,3301020200,chickpeas,3301020200
0056,"kikkaputk, harilik",Garden angelica,angelica,3301061204,angelica,3301061204
0057,kollane mesikas (100% mesikat),yellow melilot (100% melilot),melilot,3301090304,honeysuckle,3303080500
0058,"kollane mesikas (mesikat 50-80%, teisi heintaimi 20-50%)",yellow melilot (melilot 50-80% other grasses 20-50%),melilot,3301090304,honeysuckle,3303080500
0059,"kollane mesikas (vähemalt 80% mesikat, kuni 20% heintaimi)",yellow melilot (at least 80% melilot up to 20% grasses),melilot,3301090304,honeysuckle,3303080500
0060,köögivili väikestel pindadel,Fresh vegetables grown in small area (open field),fresh_vegetables,3301070000,fresh_vegetables,3301070000
0061,köömen,Caraway,caraway,3301061211,black_cumin,3301061208
0062,kõrreliste rohumaa (vähemalt 80% kõrrelisi),grassland (at least 80% grasses),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
0063,kõrvits,pumpkin,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
0064,"kuningakepp, kaheaastane",Common evening-primrose,primrose,3301083500,primrose,3301083500
0065,kurdlehine kibuvits,Kurdish rose,roses,3301083700,roses,3301083700
0066,"kurgirohi, harilik",Borage,borage,3301061209,borage,3301061209
0067,kurk,cucumber,cucumber_pickle,3301140100,cucumber_pickle,3301140100
0068,kuumaasikad avamaal või madala katte all,strawberries in the open or under low cover,strawberries,3301130000,strawberries,3301130000
