original_code,original_name,translated_name,HCAT3_name,HCAT3_code
1,AGROSTIS,AGROSTIS,poaceae_grasses,3301090200
2,ALBERCOQUER,APRICOT TREE,apricots,3303010300
3,ALBERGÍNIA,AUBERGINE,aubergine_eggplant,3301260000
4,ALFÀBREGA,BASIL,basil,3301061207
5,ALFALS,ALFALFA,alfalfa_lucerne,3301090301
6,ALL,GARLIC,garlic,3301220200
7,ALTRES FRUITERS,OTHER FRUIT TREES,unspecified_orchards_fruits,3303019800
8,ALVOCAT,AVOCADO,avocado,3303100000
9,AMETLLER,ALMOND TREES,almond,3303030100
10,ANET,ANETHUM GRAVEOLENS,anethum_dill,3301061203
11,ANÍS DOLÇ,SWEET ANISE,anise_aniseed,3301061205
12,API,CELERY,celery,3301250000
13,ARRÒS,RICE,rice,3301010700
14,AVELLANER,HAZELNUT TREE,hazelnuts_hazel,3303030200
15,BARREJA FARRATGERES,FORAGE MIXTURE,plants_harvested_green,3301090000
16,BLAT DE MORO,CORN,grain_maize_corn_popcorn,3301010600
17,BLAT DUR,DURUM WHEAT,durum_hard_wheat,3301010200
18,BLAT KAMUT,KHORASAN WHEAT,other_cereals,3301019900
19,BLAT TOU,SOFT WHEAT,common_soft_wheat,3301010100
20,BLEDA,SWISS CHARD,chard,3301310100
21,BOIXAC O CALÈNDULA,COMMON MARIGOLD,calendula_marigold,3301061210
22,BOLETS,MUSHROOMS,mushrooms_energy_genetically_modified_crops,3304000000
23,BORRATJA,BORAGE,borage,3301061209
24,BRÒCOLI,BROCCOLI,broccoli,3301210202
25,CACAUET,PEANUT,arachis,3301090302
26,CAMAMILLA DOLÇA,CAMOMILE,chamomile,3301061213
27,CAMELINA,CAMELINA,camelina,3301061500
28,CÀNEM,HEMP,hemp_cannabis,3301061000
29,CANYA COMUNA,COMMON CANE,poaceae_grasses,3301090200
30,CAQUI,KHAKI,other_permanent_crops_plantations,3303990000
31,CARABASSA,PUMKPIN,pumpkin_squash_gourd,3301140400
32,CARBASSÓ,ZUCCHINI,zucchini_courgette,3301140600
33,CARD,THISTLE,marian_thistles,3301061300
34,CÀRTAM O SAFRANÓ,SAFFLOWER,safflower,3301083900
35,CARXOFA,ARTICHOKE,artichoke,3301270000
36,CASTANYER,CHESTNUT TREE,sweet_chestnuts,3303030500
37,CEBA I CALÇOT,ONIONS,onions,3301220400
38,CEBA TENDRA,SPRING ONION,scallion,3301220500
39,CIGRÓ,CHICKPEAS,chickpeas,3301020200
40,CIRERER,CHERRY TREE,cherry_cherries,3303010400
41,CIVADA,OAT,oats,3301010500
42,CLEMENTINA,CLEMENTINE,citrus_plantations,3303040000
43,CODONY,QUINCE TREE,quinces,3303011500
44,COGOMBRE,CUCUMBER,cucumber_pickle,3301140100
45,COL DE BRUSEL·LES,BRUSSELS CABBAGE,brussels_sprouts,3301210203
46,COL DE CABDELL,CABBAGE COLD,brassica_oleracea_cabbage,3301210200
47,COL DE MILÀ,CABBAGE OF MILAN,savoy_cabbage,3301210211
48,COL GEGANT,CABBAGE,other_brassica_oleracea_cabbage,3301210299
49,COL LLOMBARDA O MORADA,RED CABBAGE,red_cabbage,3301210210
50,COL XINESA,CHINESE CABBAGE,chinese_cabbage,3301210205
51,COL-I-FLOR,COLIFLOWER,cauliflower,3301210204
52,COLRAVE,KOHLRABI,kohlrabi,3301210209
53,COLZA,COLZA,rapeseed_rape,3301060400
54,CONREU DE FRUITS DEL BOSC,BERRY CROPS,berries_berry_species,3303020000
55,CORIANDRE,CORIANDER,coriander,3301061215
56,COTÓ,COTTON,cotton,3301060300
57,CREIXEN,WATERCRESS,cress,3301210300
58,DÀCTIL (DACTYLIS),DATE,cocksfoot_catgrass,3301090203
59,ENCIAM,LETTUCE,salads_lettuce_leaf_vegetables,3301310000
60,ENDÍVIA,ENDIVIA,other_salads_lettuce_leaf_vegetables,3301319900
61,ERB,YEROS,other_dry_pulses,3301029900
62,ERBS I ORDI,YEROS - BARLEY MIX,other_dry_pulses,3301029900
63,ESBARZER,BLACKBERRY,blackberry,3303020200
64,ESCAIOLA,CANARY GRASS,canary_seed_canaryseed,3301011400
65,ESCAROLA,ENDIVE,endive,3301310300
66,ESPÀRREC,ASPARAGUS,asparagus,3301200000
67,ESPECIES AROMÀTIQUES HERBÀCIES,AROMATIC HERBS,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
68,ESPECIES AROMÀTIQUES LLENYOSES,AROMATIC WOODY PLANTS,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
69,ESPELTA,SPELT,spelt,3301011000
70,ESPINAC,SPINACH,spinach,3301310800
71,EUCALIPTUS ROT. CURTA,EUCALYPTUS,eucalyptus,3306050000
72,FAJOL,BUCKWHEAT,buckwheat,3301150200
73,FARIGOLA O TIMÓ,THYME,thyme,3301061237
74,FAVA,BEAN,beans,3301020100
75,FAVA I CIVADA,BEANS AND OATS,beans,3301020100
76,FAVERS BORDA O MOREU,BEAN,other_dry_pulses,3301029900
77,FAVÓ,FAVON,beans,3301020100
78,FENIGREC,FENUGREEK,fenugreek,3301020400
79,FESTUCA,FESTUCA (GRASS),festuca_fescue,3301090202
80,FIGUERA,FIG TREE,fig,3303010600
81,FLOR TALLADA,FLOWERS,flowers_ornamental_plants,3301080000
82,FONOLL,FENNEL,fennel,3301170000
83,GARLANDA,BEAN,vetches,3301090305
84,GARROFA HERBÀCIA,CAROB,vetches,3301090305
85,GARROFER,CAROB TREE,carob,3303110100
86,GERD,RASPBERRY,raspberry_raspberries,3303021000
87,GIRA-SOL,SUNFLOWER,sunflower,3301060500
88,GROSELLER,GOOSEBERRY,gooseberry_gooseberries_cranberries,3303020700
89,GUARET / SUP. LLIURE SEMBRA,TRADITIONAL FALLOW,fallow_land_not_crop,3301110000
90,GUARET BIODIVERSITAT,BIODIVERSITY FALLOW,fallow_land_not_crop,3301110000
