original_code,original_name,translated_name,HCAT3_name,HCAT3_code
0,PRODUCTO DESCONOCIDO,UNKNOWN PRODUCT,not_known_and_other,3399000000
1,TRIGO BLANDO,SOFT WHEAT,common_soft_wheat,3301010100
2,ESPELTA,SPELT,spelt,3301011000
3,TRIGO DURO,Durum,durum_hard_wheat,3301010200
4,MAÍZ,Corn,grain_maize_corn_popcorn,3301010600
5,CEBADA,BARLEY,barley,3301010400
6,CENTENO,RYE,rye,3301010300
7,SORGO,SORGHUM,millet_sorghum,3301010900
8,AVENA,OAT,oats,3301010500
9,ALFORFÓN,BUCKWHEAT,buckwheat,3301150200
10,MIJO,Millet,millet_sorghum,3301010900
11,ALPISTE,Canary Grass,canary_seed_canaryseed,3301011400
12,TRANQUILLÓN,Meslin,meslin,3301011100
13,TRITICALE,TRITICALE,triticale,3301010800
14,TRITORDEUM,TRITORDEUM,other_cereals,3301019900
19,TEFF,Teff,teff,3301010904
20,BARBECHO TRADICIONAL,TRADITIONAL FALLOW,fallow_land_not_crop,3301110000
21,BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS,ENVIRONMENTAL FALLOW ABANDONMENT 5 YEARS,fallow_land_not_crop,3301110000
23,BARBECHO MEDIOAMBIENTAL,ENVIRONMENTAL FALLOW,fallow_land_not_crop,3301110000
24,BARBECHO SIN PRODUCCIÓN,FALLOW WITHOUT PRODUCTION,fallow_land_not_crop,3301110000
25,ABANDONO 20 años,ABANDONMENT 20 years,unmaintained,3308000000
28,RETIRADA FORESTACIÓN,Deforestation ,not_known_and_other,3399000000
33,GIRASOL,SUNFLOWER,sunflower,3301060500
34,SOJA,SOY,soy_soybeans,3301160000
35,COLZA,RAPE,rapeseed_rape,3301060400
36,CAMELINA,CAMELINA,camelina,3301061500
40,GUISANTE,PEA,peas,3301020600
41,HABA,Broad Bean,beans,3301020100
43,ALTRAMUZ BLANCO,WHITE LUPINE,sweet_lupins,3301020700
49,ALUBIA,BEAN,beans,3301020100
50,GARBANZO,CHICKPEA,chickpeas,3301020200
51,LENTEJA,LENTIL,lentils,3301020500
52,VEZA,Vetches,vetches,3301090305
53,YEROS,Vetches,vetches,3301090305
60,ALFALFA,ALFALFA,alfalfa_lucerne,3301090301
61,ALHOLVA,Fenugreek/lucerne,fenugreek,3301020400
62,PASTOS PERMANENTES DE 5 O MÁS AÑOS,PERMANENT PASTURES OF 5 OR MORE YEARS,pasture_meadow_grassland_grass,3302000000
63,PASTOS DE MENOS DE 5 AÑOS,PASTURES LESS THAN 5 YEARS OLD,pasture_meadow_grassland_grass,3302000000
64,PASTIZAL DE 5 O MÁS AÑOS,GRASSLAND 5 OR MORE YEARS,pasture_meadow_grassland_grass,3302000000
65,PASTO ARBUSTIVO DE 5 O MÁS AÑOS,SHRUBS GRASS 5 OR MORE YEARS,pasture_meadow_grassland_grass,3302000000
66,PASTO ARBOLADO DE 5 O MÁS AÑOS,WOODY GRASS 5 OR MORE YEARS OLD,pasture_meadow_grassland_grass,3302000000
67,ESPARCETA,sainfoin,onobrychis_sainfoins,3301061600
68,FESTUCA,Fescue,festuca_fescue,3301090202
69,RAYGRASS PERENNE,PERENNIAL RYEGRASS,lolium_ryegrass,3301090205
70,AGROSTIS,Bent grass,poaceae_grasses,3301090200
71,ARRHENATHERUM,Oat grass,poaceae_grasses,3301090200
72,DACTILO,Cat grass,cocksfoot_catgrass,3301090203
73,FLEO,Timothy,timothy,3301090209
74,POA,Poa grass,poaceae_grasses,3301090200
76,ZULLA,Sulla coronaria,legumes_harvested_green,3301090300
77,TRÉBOL,CLOVER,clover,3301090303
78,RAYGRASS ANUAL ,Ryegrass annual,lolium_ryegrass,3301090205
80,ARROZ,RICE,rice,3301010700
