code;name;name_en
200;Oranica;Arable land
210;Staklenici na oranici;Greenhouses on the arable land
310;Livada;Meadow
320;Pašnjak;Pasture
321;Krški pašnjak;Karst pasture
410;Vinograd;Vineyard
411;Iskrčeni vinograd;Cleared vineyard
421;Maslinik;Olive grove
422;Voćnjak	Poljoprivredno;Orchard
430;Kulture kratke ophodnje;Short tour cultures
450;Rasadnik;Nursery
490;Mješoviti višegodišnji nasadi;Mixed perennial plantations
900;Ostale vrste uporabe zemljišta;Other types of land use
910;Privremeno neodržavana parcela;Temporarily unmaintained plot
