nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,usage_code,usage_name
iti1,1001,Avena,Oats,3310105000,oats,0,No specified use
iti1,1002,Frumento duro,Durum wheat,3310102000,durum_hard_wheat,0,No specified use
iti1,1003,Frumento tenero,Common soft wheat,3310101000,common_soft_wheat,0,No specified use
iti1,1005,Mais,Corn,3310106000,maize_corn_popcorn,0,No specified use
iti1,1007,Orzo,Barley,3310104000,barley,0,No specified use
iti1,101,PAPAVERO,POPPY,3310606000,poppy,0,No specified use
iti1,1012,Sorgo,Sorghum,3310116000,sorghum,0,No specified use
iti1,1013,Triticale,Triticale,3310108000,triticale,6,Harvested as Grains
iti1,1014,Farro,Spelt/emmer/einkorn,3310110000,spelt,0,No specified use
iti1,1095,Bosco,Woodland,3360000000,tree_wood_forest,0,No specified use
iti1,1098,Vivaio specie ornamentali,Ornamental species nursery,3310800000,flowers_ornamental_plants,0,No specified use
iti1,11,STEVIA REBAUDIANA,STEVIA REBAUDIANA,3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,0,No specified use
iti1,1102,Cece,Chickpea,3310201040,chickpeas,0,No specified use
iti1,112,CANNA CINESE (MISCANTHUS SINENSIS),CHINESE silver grass (MISCANTHUS SINENSIS),3310617030,miscanthus_silvergrass,0,No specified use
iti1,113,AGLIO,GARLIC,3310708020,garlic,0,No specified use
iti1,114,AGRETTO,opposite leaved saltwort (soda ash/ eaten as vegetables),3310717990,other_salads_lettuce_leaf_vegetables,0,No specified use
iti1,1148,Hedysarum coronarium L. (Sulla),Sweet Vetch Hedysarum coronarium L.,3310202050,vetches,0,No specified use
iti1,1167,Medicago sativa L. (Erba medica),Medicago sativa L. (Alfalfa),3310202010,alfalfa_lucerne,0,No specified use
iti1,117,BROCCOLETTO DI RAPA,Rapini,3310707990,other_brassicaceae_cruciferae,0,No specified use
iti1,1170,Onobrichis viciifolia Scop. (Lupinella),Onobrichis viciifolia Scop. (Sainfoin),3310202060,onobrychis_sainfoins,0,No specified use
iti1,1172,PASCOLO ARBORATO - CESPUGLIATO TARA 20%,Wooded Pasture - Shrubby Tare 20%,3320100000,permanent_grassland,3,Fodder/Forage
iti1,1173,PASCOLO ARBORATO - TARA 50%,Wooded Pasture - Tare 50%,3320100000,permanent_grassland,3,Fodder/Forage
iti1,118,CAVOLFIORE,CAULIFLOWER,3310707050,cauliflower,0,No specified use
iti1,121,FAGIOLINO,green bean,3310201010,beans,0,No specified use
iti1,122,FAGIOLO,bean,3310201010,beans,0,No specified use
iti1,127,LATTUGA LATTUGHINO,LETTUCE LETTUCE,3310717000,salads_lettuce_leaf_vegetables,0,No specified use
iti1,129,MELANZANA,AUBERGINE,3310712000,aubergine_eggplant,0,No specified use
iti1,13,CALLA,CALLA lily,3310899000,other_flowers_ornamental_plants,0,No specified use
iti1,130,MELONE,MELON,3310702030,melon,0,No specified use
iti1,1305,Tabacco,Tobacco,3310601000,tobacco,0,No specified use
iti1,1308,Pomodoro,Tomato,3310714000,tomato,0,No specified use
iti1,131,ORTIVE A PIENO CAMPO,FIELD VEGETABLES,3310700000,fresh_vegetables,0,No specified use
iti1,135,PORRO,Leek,3310708030,leek,0,No specified use
iti1,145,SEDANO,wild celery,3310711000,celery,0,No specified use
iti1,1451,Trifoglio,Clover,3310202030,clover,0,No specified use
iti1,1464,ERBAIO,forage grass less than a year,3320201000,poaceae_grasses,0,No specified use
iti1,1482,Fava,Fava bean,3310201010,beans,0,No specified use
iti1,149,SESAMO,SESAME,3310604990,other_oilseed_crops,0,No specified use
iti1,150,TARTUFO DI PRATO,MEADOW TRUFFLE,3340200000,truffle,0,No specified use
