original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
Ganyklos-pievos virš 5m.,Pastures-meadows over 5m.,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Žieminiai javai,Winter cereals,winter_unspecified_cereals,3301011501,winter_unspecified_cereals,3301011501
Ganyklos-pievos iki 5m.,Pastures-meadows up to 5m.,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Vasariniai javai,Summer cereals,summer_unspecified_cereals,3301011503,summer_unspecified_cereals,3301011503
Kita ariama žemė,Other arable land,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
Rapsai,Rape,rapeseed_rape,3301060400,rapeseed_rape,3301060400
Daržovės,Vegetables,fresh_vegetables,3301070000,fresh_vegetables,3301070000
Avižos,Oats,oats,3301010500,oats,3301010500
Pūdymas,Fallow,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Ankštiniai javai,Leguminous crops,legumes_dried_pulses_protein_crops,3301020000,spring_unspecified_cereals,3301011502
Daugiametės žolės,Perennial grasses,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Grikiai,Buckwheat,buckwheat,3301150200,buckwheat,3301150200
Sodai,Gardens,kitchen_gardens,3301120000,kitchen_gardens,3301120000
Miškai,Woods,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Kukurūzai,Corn,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
Uogynai,Berries,berries_berry_species,3303020000,berries_berry_species,3303020000
Šlapynės,Wetlands,not_known_and_other,3399000000,spinach,3301310800
Kiti sodiniai,Other plantations,other_permanent_crops_plantations,3303990000,other_permanent_crops_plantations,3303990000
Grioviai,Ditches,not_known_and_other,3399000000,not_known_and_other,3399000000
Cukriniai runkeliai,Sugar beet,sugar_beet,3301290700,sugar_beet,3301290700
Aromatinai augalai,Aromatic plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
Pluoštinės kanapės,Fiber hemp,hemp_cannabis,3301061000,hemp_cannabis,3301061000
Grybai,Mushrooms,mushrooms_energy_genetically_modified_crops,3304000000,mushrooms_energy_genetically_modified_crops,3304000000
Linai,Linen,flax_linen,3301060701,flax_linen,3301060701
