original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code,source
111,"Kvieši, vasaras",Wheat summer,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103,EuroCrops lv_2021.csv
112,"Kvieši, ziemas",Wheat winter,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101,EuroCrops lv_2021.csv
113,Kvieši vasaras ar stiebrzāļu vai tauriņziežu pasēju,Wheat in summer with grass or legume sowing,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103,EuroCrops lv_2021.csv
115,"Speltas kvieši, vasaras",Spelt summer,spring_spelt,3301011002,summer_spelt,3301011003,EuroCrops lv_2021.csv
116,"Speltas kvieši, ziemas","Spelt wheat, winter",winter_spelt,3301011001,winter_spelt,3301011001,EuroCrops lv_2021.csv
117,"Kvieši, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju",Winter wheat with grass or legume undersowing,winter_common_soft_wheat,3301010101,,,"fiboa, from 112"
118,"Speltas kvieši, vasaras ar stiebrzāļu pasēju vai tauriņziežu pasēju",Spring spelt with grass or legume undersowing,spring_spelt,3301011002,,,"fiboa, from 115"
119,"Speltas kvieši, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju",Winter spelt with grass or legume undersowing,winter_spelt,3301011001,,,"fiboa, from 116"
121,Rudzi,Rye,rye,3301010300,rye,3301010300,EuroCrops lv_2021.csv
122,"Rudzi, Kaupo šķirnes",Rye Kaupo varieties,rye,3301010300,rye,3301010300,EuroCrops lv_2021.csv
123,"Rudzu populācijas šķirnes, izņemot ‘Kaupo’",Rye population varieties other than ,rye,3301010300,rye,3301010300,EuroCrops lv_2021.csv
124,"Rudzi, ar stiebrzāļu pasēju vai tauriņziežu pasēju",Rye with grass or legume undersowing,rye,3301010300,,,"fiboa, from 121"
125,"Rudzi, populācijas šķirnes, t.sk. ‘Kaupo’ ar stiebrzāļu pasēju vai tauriņziežu pasēju",Rye population varieties with grass or legume undersowing,rye,3301010300,,,"fiboa, from 123"
131,"Mieži, vasaras",Barley summer,spring_barley,3301010402,summer_barley,3301010403,EuroCrops lv_2021.csv
132,"Mieži, ziemas",Barley winter,winter_barley,3301010401,winter_barley,3301010401,EuroCrops lv_2021.csv
133,Mieži vasaras ar stiebrzāļu vai tauriņziežu pasēju,Barley summer with grass or legume sowing,spring_barley,3301010402,summer_barley,3301010403,EuroCrops lv_2021.csv
135,"Mieži, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju",Winter barley with grass or legume undersowing,winter_barley,3301010401,,,"fiboa, from 132"
140,Auzas,Oats,oats,3301010500,oats,3301010500,EuroCrops lv_2021.csv
141,Auzas ar stiebrzāļu vai tauriņziežu pasēju,Oats with grass or legume paste,oats,3301010500,oats,3301010500,EuroCrops lv_2021.csv
150,"Tritikāle, vasaras",Triticale summer,spring_triticale,3301010802,summer_triticale,3301010803,EuroCrops lv_2021.csv
151,"Tritikāle, ziemas",Triticale winter,winter_triticale,3301010801,winter_triticale,3301010801,EuroCrops lv_2021.csv
152,Tritikāle vasaras ar stiebrzāļu vai tauriņziežu pasēju,Summer triticale with grass or legume paste,spring_triticale,3301010802,summer_triticale,3301010803,EuroCrops lv_2021.csv
154,"Tritikāle, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju",Winter triticale with grass or legume undersowing,winter_triticale,3301010801,,,"fiboa, from 151"
160,Griķi,Buckwheat,buckwheat,3301150200,buckwheat,3301150200,EuroCrops lv_2021.csv
161,Griķi ar tauriņziežu pasēju,Buckwheat with legume seed,buckwheat,3301150200,buckwheat,3301150200,EuroCrops lv_2021.csv
170,Kaņepes,Cannabis,hemp_cannabis,3301061000,hemp_cannabis,3301061000,EuroCrops lv_2021.csv
180,"Cietie kvieši, vasaras",Spring durum wheat,spring_durum_hard_wheat,3301010202,,,fiboa
181,"Cietie kvieši, vasaras, ar stiebrzāļu vai tauriņziežu pasēju",Spring durum wheat with grass or legume undersowing,spring_durum_hard_wheat,3301010202,,,"fiboa, from 180"
211,"Rapsis, vasaras",Rape summer,summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403,EuroCrops lv_2021.csv
212,"Rapsis, ziemas",Rape winter,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401,EuroCrops lv_2021.csv
213,"Ripsis, vasaras","Rapeseed, summer",summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403,EuroCrops lv_2021.csv
214,"Ripsis, ziemas",Rapeseed winter,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401,EuroCrops lv_2021.csv
215,Sinepe,Mustard,mustard,3301210100,mustard,3301210100,EuroCrops lv_2021.csv
216,Sinepes ar tauriņziežu pasēju,Mustard with legume paste,mustard,3301210100,mustard,3301210100,EuroCrops lv_2021.csv
218,Eļļas rutks sēklas ieguvei,Oil radish grown for seed,radish,3301290600,,,fiboa
310,"Lini, šķiedras",Linen fibers,flax_linen,3301060701,flax_linen,3301060701,EuroCrops lv_2021.csv
330,"Lini, eļļas",Flax oils,flax_linseed_oil,3301060702,flax_linseed_oil,3301060702,EuroCrops lv_2021.csv
410,Lauka pupas,Field beans,beans,3301020100,beans,3301020100,EuroCrops lv_2021.csv
411,Pupas ar stiebrzāļu pasēju vai tauriņziežu pasēju,Field beans with grass or legume undersowing,beans,3301020100,,,"fiboa, from 410"
420,Zirņi,Peas,peas,3301020600,peas,3301020600,EuroCrops lv_2021.csv
421,Zirņi ar stiebrzāļu pasēju vai tauriņziežu pasēju,Peas with grass or legume undersowing,peas,3301020600,,,"fiboa, from 420"
430,"Lupīna (saldā jeb dzeltenā, baltā, šaurlapu)",Lupine (sweet or yellow white narrow leaf),sweet_lupins,3301020700,sweet_lupins,3301020700,EuroCrops lv_2021.csv
441,"Vīķi, vasaras",Vetches summer,vetches,3301090305,vetches,3301090305,EuroCrops lv_2021.csv
442,"Vīķi, ziemas",Vetches winter,vetches,3301090305,vetches,3301090305,EuroCrops lv_2021.csv
