original_code,original_name,translated_name,HCAT3_name,HCAT3_code
agrest (porzeczka agrest),agrest (porzeczka agrest),gooseberry,gooseberry_gooseberries_cranberries,3303020700
Aksamitka,Aksamitka,tagetes,tagetes,3301084700
anyż,anyż,anise,anise_aniseed,3301061205
arbuz (kawon),arbuz (kawon),watermelon,watermelon,3301140500
arcydzięgiel litwor uprawa dwuletnia,arcydzięgiel litwor uprawa dwuletnia,angelica biennial,angelica,3301061204
arcydzięgiel litwor uprawa roczna,arcydzięgiel litwor uprawa roczna,angelica annual,angelica,3301061204
arnika górska,arnika górska,arnica,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
arnika łąkowa,arnika łąkowa,arnica,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
aronia czarnoowocowa,aronia czarnoowocowa,chokeberry,aronia_chokeberries,3303020100
aster,aster,aster,asters,3301080300
babka,babka,plantain,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
babka lancetowata,babka lancetowata,plantain,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
babka płesznik,babka płesznik,plantain,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
babka zwyczajna,babka zwyczajna,plantain,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
batat,batat,sweet potato,sweet_potatoes,3301040000
bazylia pospolita,bazylia pospolita,basil,basil,3301061207
berberys zwyczajny,berberys zwyczajny,barberry,shrubberries_shrubs,3303080000
bez czarny,bez czarny,elder,elder_elderberry,3303080400
bluszczyk kurdybanek,bluszczyk kurdybanek,ground ivy,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
bniec biały uprawa wieloletnia,bniec biały uprawa wieloletnia,"white campion, perennial",silene_catchfly,3301084300
bobik,bobik,field bean,beans,3301020100
Bobik na zielony nawóz,Bobik na zielony nawóz,field bean for green manure,beans,3301020100
bodziszek łąkowy,bodziszek łąkowy,cranesbill,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
borówka brusznica,borówka brusznica,lingonberry,cranberry,3303020500
borówka niska,borówka niska,blueberry,blueberry,3303020400
borówka wysoka i średnia,borówka wysoka i średnia,blueberry,blueberry,3303020400
Brachina,Brachina,brachiaria,poaceae_grasses,3301090200
brokuł włoski,brokuł włoski,broccoli,broccoli,3301210202
brukiew,brukiew,fodder swede,swede_rutabaga,3301210500
brukiew jadalna,brukiew jadalna,swede,swede_rutabaga,3301210500
brukiew pastewna,brukiew pastewna,fodder swede,swede_rutabaga,3301210500
brzoskwinia i nektaryna,brzoskwinia i nektaryna,peach,peach,3303011100
brzoskwinia zwyczajna,brzoskwinia zwyczajna,peach,peach,3303011100
bukwica lekarska,bukwica lekarska,betony,stachys_hedgenettle_chinese_artichoke,3301061235
bukwica zwyczajna,bukwica zwyczajna,betony,stachys_hedgenettle_chinese_artichoke,3301061235
burak,burak,fodder beet,mangelwurzel_fodder_beet,3301290400
burak cukrowy,burak cukrowy,sugar beet,sugar_beet,3301290700
burak liściowy (boćwina),burak liściowy (boćwina),chard,chard,3301310100
burak pastewny,burak pastewny,fodder beet,mangelwurzel_fodder_beet,3301290400
burak ćwikłowy,burak ćwikłowy,beetroot,beetroot_beets,3301290200
bylica,bylica,artemisia,artemisia,3301061206
bylica boże drzewko,bylica boże drzewko,artemisia,artemisia,3301061206
bylica estragon,bylica estragon,tarragon,tarragon,3301061236
bylica piołun,bylica piołun,artemisia,artemisia,3301061206
bób,bób,broad bean,beans,3301020100
