original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
109,AMENDOA,ALMOND,almond,3303030100,almond,3303030100
267,CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,ANNUAL AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
105,MAÇÃ,APPLE,apples,3303010200,apples,3303010200
107,DAMASCO,apricot,apricots,3303010300,apricots,3303010300
081,"PLANTAS AROM., MEDICINAIS E CONDIMENTARES",AROM. MEDICINAL AND CONDIMENTAL PLANTS,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
266,CONSOCIAÇÃO DE FIXADORAS DE AZOTO,association of nitrogen-fixing plants,legumes_harvested_green,3301090300,not_known_and_other,3399000000
136,ABACATE,AVOCADO,avocado,3303100000,avocado,3303100000
004,CEVADA,BARLEY,barley,3301010400,barley,3301010400
076,AZEVEM,lolium,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
014,FAVA,BEAN,beans,3301020100,beans,3301020100
230,FEIJÃO,BEAN,beans,3301020100,beans,3301020100
090,OUTRAS HORTÍCOLAS,Other crops,fresh_vegetables,3301070000,fresh_vegetables,3301070000
103,BATATA,Potato,potatoes,3301030000,potatoes,3301030000
032,BETERRABA,BEETROOT,beetroot_beets,3301290200,beetroot_beets,3301290200
164,POVOAMENTO CARVALHO NEGRAL,BLACK OAK NEGRAL PLANTATION,oak,3306060000,oak,3306060000
201,AMORA,BLACKBERRY,blackberry,3303020200,blackberry,3303020200
202,MIRTILO,BLUEBERRY,blueberry,3303020400,blueberry,3303020400
249,CENOURA,CARROT,carrots_daucus,3301290300,carrots_daucus,3301290300
110,CASTANHA,CASTANIA,sweet_chestnuts,3303030500,sweet_chestnuts,3303030500
263,CHUCHU,Chayote Gourd,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
106,CEREJA,CHERRY,cherry_cherries,3303010400,cherry_cherries,3303010400
166,POVOAMENTO CASTANHEIRO,CHESTNUT PLANTATIONS,sweet_chestnuts,3303030500,sweet_chestnuts,3303030500
038,GRÃO DE BICO,CHICKPEA,chickpeas,3301020200,chickpeas,3301020200
046,TREVO,CLOVER,clover,3301090303,clover,3301090303
283,MEDRONHO,COMMON LAND PASTURE,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
262,SOBREIRO PARA PRODUÇÃO DE CORTIÇA,CORK OAK FOR CORK PRODUCTION,oak,3306060000,oak,3306060000
162,POVOAMENTO DE SOBREIROS,CORK OAK PLANTATION,oak,3306060000,oak,3306060000
006,MILHO,CORN,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
250,COURGETTE,COURGETTE,zucchini_courgette,3301140600,zucchini_courgette,3301140600
137,BERINGELA,EGGPLANT,aubergine_eggplant,3301260000,aubergine_eggplant,3301260000
985,LINHAS DE ÁGUA - ÁREA ÚTIL,ELEGIBLE LANDSCAPE FEATURES - WATER LINES,not_known_and_other,3399000000,not_known_and_other,3399000000
210,POVOAMENTO DE EUCALIPTO,EUCALYPTUS PLANTATION,eucalyptus,3306050000,eucalyptus,3306050000
163,POVOAMENTO AZINHEIRAS,EVERGREEN OAK PLANTATION,oak,3306060000,oak,3306060000
089,POUSIO,FALLOWING/ INTERCROPPING (INTERRUPTED CULTIVATEN TO MAKE SOIL MORE FERTILE),fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
085,FIGO,FIG,fig,3303010600,fig,3303010600
173,ACEIRO FLORESTAL,FOREST FIREBREAKS,tree_wood_forest,3306000000,tree_wood_forest,3306000000
293,ALHO FRANCÊS,FRENCH GARLIC,garlic,3301220200,garlic,3301220200
245,ALHO,GARLIC,garlic,3301220200,garlic,3301220200
254,COUVE,GREEN CABBAGE,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
139,BOSQUETES,groves,tree_wood_forest,3306000000,tree_wood_forest,3306000000
116,AVELÃ,HAZELNUT,hazelnuts_hazel,3303030200,hazelnuts_hazel,3303030200
982,CABECEIRAS CULT. PERMANENTES - ÁREA ÚTIL,Headlands of permanent crops - useful area,not_known_and_other,3399000000,permanent_crops_perennial,3303000000
124,KIWI,KIWI,kiwi,3303010700,kiwi,3303010700
097,LIMÃO,LEMON,citrus_plantations,3303040000,citrus_plantations,3303040000
244,ALFACE,LETTUCE,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000
914,ELEMENTO LINEAR SEBE OU CORTA-VENTO-ÁREA ÚTIL,Linear element hedge or windbreak,not_known_and_other,3399000000,wire_bush,3303080700
924,ELEMENTO LINEAR EM ORIZICULTURA-ÁREA ÚTIL,Linear element in rice cultivation - useful area,rice,3301010700,rice,3301010700
724,ELEMENTO LINEAR ARROZ (NÃO ÚTIL-COMP. MAA),Linear element RICE (COMP. MAA),rice,3301010700,rice,3301010700
044,LUZERNA,LUCERNE,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
047,TREMOÇO,LUPINE,sweet_lupins,3301020700,sweet_lupins,3301020700
240,TREMOCILHA,Lupinus luteus,sweet_lupins,3301020700,sweet_lupins,3301020700
205,MELÃO,MELON,melon,3301140300,melon,3301140300
170,POVOAMENTO F MISTO,MIXED Forest,tree_wood_forest,3306000000,tree_wood_forest,3306000000
161,MISTO CULTURAS PERMANENTES,MIXED PERMANENT CULTURES,permanent_crops_perennial,3303000000,unspecified_permanent_crops,3303120000
276,MOSTARDA,MUSTARD,mustard,3301210100,mustard,3301210100
265,SUPERFÍCIE ARBUSTIVA NÃO PASTOREÁVEL,non-grazable shrub area,shrubberries_shrubs,3303080000,wire_bush,3303080700
101,VIVEIROS,NURSERY,nurseries_nursery,3303070000,nurseries_nursery,3303070000
112,NOZ,NUT,nuts,3303030000,nuts,3303030000
165,POVOAMENTO MISTO QUERCUS(SOB.AZENH.CARVAL/NEGRAL),oak MIXED SETTLEMENT (UNDER AZENH.CARVAL/NEGRAL),oak,3306060000,oak,3306060000
005,AVEIA,OAT,oats,3301010500,oats,3301010500
083,OLIVAL,OLIVE VALLEY,olive_plantations,3303050000,olive_plantations,3303050000
248,CEBOLA,ONION,onions,3301220400,onions,3301220400
096,LARANJA,ORANGE,citrus_plantations,3303040000,citrus_plantations,3303040000
091,FLORES E PLANTAS ORNAMENTAIS,ORNAMENTAL FLOWERS AND PLANTS,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
026,OUTROS CEREAIS,OTHER CEREALS,unspecified_cereals,3301011500,other_cereals,3301019900
157,OUTROS CITRINOS,OTHER CITRUS FRUIT,citrus_plantations,3303040000,citrus_plantations,3303040000
169,POVOAMENTO OUTRAS RESINOSAS,OTHER CONIFEROUS FORESTS,other_tree_wood_forest,3306990000,tree_wood_forest,3306000000
086,OUTROS FRUTOS SECOS,Other Dried Fruits,unspecified_orchards_fruits,3303019800,orchards_fruits,3303010000
148,OUTRAS LEGUMINOSAS SECAS,OTHER DRIED VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
174,OUTRAS SUPERFÍCIES FLORESTAIS,OTHER FOREST SURFACES,tree_wood_forest,3306000000,tree_wood_forest,3306000000
195,OUTRAS FRUTOS FRESCOS,OTHER FRESH FRUIT,orchards_fruits,3303010000,orchards_fruits,3303010000
156,OUTRAS OLEAGINOSAS,OTHER OILSEEDS,oilseed_crops,3301060800,oilseed_crops,3301060800
060,OUTRAS CULTURAS PERMANENTES,OTHER PERMANENT CROPS,other_permanent_crops_plantations,3303990000,other_permanent_crops_plantations,3303990000
117,OUTROS PEQUENOS FRUTOS,OTHER SMALL FRUITS,orchards_fruits,3303010000,orchards_fruits,3303010000
102,OUTROS FRUTOS SUB-TROPICAIS,OTHER SUB-TROPICAL FRUITS,orchards_fruits,3303010000,orchards_fruits,3303010000
307,OUTRAS CULTURAS TEMPORÁRIAS,OTHER TEMPORARY CROPS,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
280,PASTAGENS ARBUSTIVAS,PASTURE WITH BUSHES,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
